ExteriorDataLayer,ContainingLevelInstance,ActorLabel,NativeClass,Kind,OwnRuntimeDataLayers,OutlinerChain,CentreX,CentreY,CentreZ,Guid,SoftPath
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1026,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9692.9,-69448.3,3476.1,B8687BF3-4DDD-B351-CE36-A78D160E0B6A,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1533726352
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1035,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9731.6,-69583.9,3502.9,A6AB09B7-4A1A-F97B-891D-AB9FEADAD338,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1533731357
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1039,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9781.8,-69716.9,3528.5,618561D7-4B00-B9EF-BBD4-BBB62DF379E0,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1533735362
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1040,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9839.0,-69847.2,3550.3,132F240B-4F29-6B5E-F1B7-A6979D84211E,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1533740367
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1041,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9500.0,-68920.0,3364.0,39D8824C-4B6B-AC72-2D8E-3CAC2EE2DD11,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1704856372
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1042,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9554.6,-69049.9,3388.8,E0966619-4AAA-C3AD-7009-6BAE6F4970FE,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1704860377
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1043,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9606.8,-69181.9,3418.4,A27D7F0E-4E60-EFAF-10CF-C489BC4D8BAB,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1704865382
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1044,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9653.0,-69313.4,3447.7,7AAE06C1-4077-99DE-8B74-B1B7E9E16B6F,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1704869387
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1045,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9303.0,-68393.1,3257.0,7965DF8F-488A-5D61-6157-32A8D6B61C7E,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1854449392
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1046,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9354.3,-68524.8,3279.5,3CC843A0-4A19-17AF-B3F6-708BDA7802FA,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1854454397
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1047,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9402.5,-68658.1,3307.8,CCF633FD-44FC-E5E6-6F0C-0C9A98651D32,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1854458402
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1048,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9450.7,-68790.3,3335.0,F80EB702-444B-DAC5-A8E9-D5BC1C18ECB5,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1854462407
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1049,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9205.4,-68126.8,3213.9,10B4D9E6-451A-1F15-CDE9-3B8AE5959CAE,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1954499412
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1050,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9251.3,-68261.2,3232.8,C4ED4E01-43D4-AE36-8A5D-EBAEAC1801BA,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_1954504417
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1051,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9118.8,-67857.4,3193.4,1A0C07DB-4720-C2D9-AA79-2C909CE89E2B,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_2039726422
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1052,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9163.8,-67992.6,3201.2,5F4D2D9A-4B36-606E-2EEF-50897E3B25D7,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_2039730427
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1054,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9071.0,-67723.5,3184.5,F1FBE842-4341-DB7A-0B88-23941C95B1EE,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7437FD02_2130304437
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1055,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9377.6,-67578.2,3181.8,C4BD9873-4018-A228-FD13-DAAA8A286D38,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1121610622
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1056,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9242.8,-67628.3,3183.2,35FC491E-4C87-C16F-5C17-E19E0DC52A86,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1121616627
