Verdict,Scope,Enclosure,ActorType,Actor,ContainingLevelInstance,InheritedRuntimeLayer,OtherOwnRuntimeLayers,LevelInstanceChain,OutlinerPath,SoftObjectPath,GUID
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_WallMount_B,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/Lighting/SM_WallMount_B,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67EE03E46B502_1545152958,1993E39D-4BDB-9414-8707-7B89BAFA280E
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_WallMount_B2,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/Lighting/SM_WallMount_B2,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67EE03E46B502_1757334959,0A7E3083-4062-5CB8-9412-409A7C527C0C
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_Arch_A_1,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_Arch_A_1,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB860D8102_1637399082,3F831D0D-4DD3-C778-6C19-2B8D5B98BA6B
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_1,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_1,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB860D8102_1637388070,10C184F6-4F9E-5402-C4EB-4FACF94B6AB4
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_10,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_10,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86158102_1683300736,43661DD8-43BC-AA1E-D9EE-8EA4189E426E
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_11,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_11,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86158102_1695657737,CBBA54E5-421E-393A-CB53-12A128DC699B
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_12,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_12,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86158102_1702252738,0EF40115-41C8-F934-925B-B3B54252169C
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_13,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_13,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86168102_1100632930,05772E77-4B26-5B5D-62C8-92BDFFD49E68
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_14,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_14,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86168102_1106627931,85EBB5D4-4135-8E69-A280-40BDCF46BF71
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_15,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_15,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86168102_1113509932,653096AE-4684-9C83-B745-FF92FCAB1045
RuleMismatch,Hogwarts,EXT,StaticMeshActor,SM_HW_EH_DoorFrame_BaseColumn_A_2,LI_EntranceHall_EXT,DL_HW_EXT,,LI_Hogwarts > LI_EntranceHall_EXT,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Porch/SM_HW_EH_DoorFrame_BaseColumn_A_2,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB860D8102_1637390071,3667E37D-4B1A-CC74-E837-F1B3B2656215
