Confidence,Scope,ActorLabel,LayerToRemove,OwnRuntimeDataLayers,RemainingAfterRemoval,ContainingLevelInstance,Openness,Metric,CentreX,CentreY,CentreZ,Guid,SoftPath
Confirmed,Hogwarts,SM_HW_EH_ColumnBase_Large_PartA5,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10967.1,-28076.4,7315.0,94735E5C-43BD-D50A-C12A-7B8099663C62,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED91126B302_2062421217
Confirmed,Hogwarts,SM_HW_EH_ColumnBase_Large_PartB7,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10967.3,-28076.3,7365.9,282B0D61-4860-306D-CB31-9D976BFA93F1,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED911C3B302_2019882865
Confirmed,Hogwarts,SM_HW_EH_ColumnBase_Large_PartC7,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10967.3,-28076.3,7406.5,B9146C3E-4371-F4C9-8C22-208F26820D5F,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED911C7B302_1730628577
Confirmed,Hogwarts,SM_HW_EH_DoorFrame_BaseColumn_A_12,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10161.4,-29106.5,7436.8,0EF40115-41C8-F934-925B-B3B54252169C,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86158102_1702252738
Confirmed,Hogwarts,SM_HW_EH_DoorFrame_ColumnDecor_B_114,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10186.3,-29229.8,9348.4,69B0B91D-4E04-B026-D68F-089871B711BF,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86538202_2003191568
Confirmed,Hogwarts,SM_HW_EH_DoorFrame_ColumnDecor_B_115,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10165.1,-29107.9,9348.4,9961E58B-460B-2C05-9275-CDA09092EF61,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86538202_2003191569
Confirmed,Hogwarts,SM_HW_EH_DoorFrame_ColumnDecor_B_34,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10186.3,-29229.8,7784.2,8742E74A-4A59-429A-9019-398A06C2A517,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1681662097
Confirmed,Hogwarts,SM_HW_EH_DoorFrame_ColumnDecor_B_35,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10165.1,-29107.9,7784.2,74996D1E-40A1-6160-5DFD-D18CA0DB0908,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1693676098
Confirmed,Hogwarts,SM_HW_EH_DoorFrame_ColumnDecor_B_36,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10165.1,-29107.9,7964.4,89D949D4-408B-AD16-86E8-90B63D7C4F0A,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1714663099
Confirmed,Hogwarts,SM_HW_EH_DoorFrame_ColumnDecor_B_37,DL_OVERLAND,DL_OVERLAND,DL_HW_EXT,LI_EntranceHall_EXT,0.000,dense-1470,-10186.3,-29229.8,7964.4,ED40058D-47AD-B763-EE1F-6BB73C2D0A41,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1714665100
