Area,ActorLabel,Class,OutlinerPath,Guid,PlacementCount,OwnDataLayers,InheritedDataLayers,LevelInstanceChain,OwningLevelAsset,ReferencedLevelAsset,CenterX,CenterY,CenterZ
Hogwarts,SM_HW_Column_A_2M_1,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_1,4BB8817A-4A4E-7808-E881-DFA7BD959575,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-8544.7,-26328.2,12126.5
Hogwarts,SM_HW_Column_A_2M_2,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_2,3A70C4F5-4E91-6087-EF20-A49A56C11854,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-8544.7,-26328.2,11914.7
Hogwarts,SM_HW_Column_A_2M_28,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_28,F03798FC-42B8-562D-F32F-28AFB21FF208,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-9734.0,-26418.3,11703.0
Hogwarts,SM_HW_Column_A_2M_29,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_29,D4A02468-4F4A-B9B9-68FB-F4880907AEB9,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-9734.0,-26418.3,11914.7
Hogwarts,SM_HW_Column_A_2M_3,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_3,4B44EB8A-48DC-8F07-C3A3-C5A2F148EF5E,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-8544.7,-26328.2,11703.0
Hogwarts,SM_HW_Column_A_2M_30,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_30,A56D1235-475C-9C7B-2FC6-3C85310E502B,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-9734.0,-26418.3,12126.5
Hogwarts,SM_HW_Column_A_2M_31,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_31,481FF9C2-48A4-7F26-6330-B8AC7E6AB70C,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-9985.4,-26073.7,11703.0
Hogwarts,SM_HW_Column_A_2M_32,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_32,5F0A5982-4B93-CB71-F36B-8F82B5FF03E1,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-9985.4,-26073.7,11914.7
Hogwarts,SM_HW_Column_A_2M_33,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_33,6CFD74BD-44E9-929F-7535-84B09CBBCE7F,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-9985.4,-26073.7,12126.5
Hogwarts,SM_HW_Column_A_2M_34,StaticMeshActor,LV_Overland/Hogwarts/LI_Hogwarts/LevelInstances/EntranceHall/LI_EntranceHall_EXT/RENDER/Tower/SM_HW_Column_A_2M_34,BE93F3A2-41D2-4BED-3656-34AC8E0BD7FC,1,DL_OVERLAND;DL_RENDER,DL_HW_EXT,LI_Hogwarts > LI_EntranceHall_EXT,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT,,-9908.6,-25642.3,12126.5
